,asset,nexo_term,apy
0,USDT,platinum,10
1,USDC,platinum,10
2,USDP,platinum,10
3,UST,platinum,15
4,GBPX,platinum,10
5,DAI,platinum,10
6,EURX,platinum,10
7,TUSD,platinum,10
8,USDX,platinum,10
9,USDT,platinum,10
10,BTC,platinum,6
11,ETH,platinum,6
12,NEXO,platinum,12
13,AXS,platinum,34
14,MATIC,platinum,14
15,KSM,platinum,10
16,DOT,platinum,13
17,APE,platinum,10
18,AVAX,platinum,10
19,NEAR,platinum,8
20,BNB,platinum,6
21,ADA,platinum,6
22,SOL,platinum,6
23,ATOM,platinum,9
24,FTM,platinum,8
25,LUNA,platinum,6
26,XRP,platinum,6
27,LTC,platinum,6
28,LINK,platinum,6
29,BCH,platinum,6
30,TRX,platinum,6
31,XLM,platinum,6
32,EOS,platinum,6
33,PAXG,platinum,6
34,DOGE,platinum,1
